update,outcome,loss,ev,kl,clipfrac,entropy,pass_frac,optional_pass,baseline,top_name,top_frac,eval_win,eval_loss,eval_draw
70,0.2,-0.0269,0.995,0.01619,0.158,0.397,0.6,0.332,0.111,pass,0.6,,,
71,-0.6,-0.0273,0.996,0.02289,0.17,0.429,0.557,0.272,0.119,pass,0.557,,,
72,1.0,-0.0255,0.951,0.01936,0.159,0.572,0.457,0.234,0.111,pass,0.457,,,
73,-1.0,-0.016,0.983,0.02538,0.183,0.509,0.547,0.303,0.139,pass,0.547,,,
74,0.333,-0.0277,0.992,0.02594,0.213,0.593,0.48,0.294,0.133,pass,0.48,,,
75,0.333,-0.0364,0.991,0.019,0.202,0.617,0.453,0.289,0.119,pass,0.453,0.5,0.5,0.0
76,-1.0,-0.0158,0.968,0.0108,0.069,0.343,0.609,0.262,0.1,pass,0.609,,,
77,0.5,-0.0302,0.936,0.01606,0.175,0.509,0.445,0.232,0.141,pass,0.445,,,
78,-0.2,-0.0235,0.983,0.01904,0.101,0.368,0.541,0.175,0.092,pass,0.541,,,
79,0.0,-0.018,0.986,0.01226,0.106,0.487,0.477,0.221,0.094,pass,0.477,,,
80,0.0,-0.0263,0.981,0.01108,0.135,0.505,0.463,0.196,0.119,pass,0.463,,,
81,0.0,-0.0247,0.993,0.00894,0.103,0.48,0.512,0.188,0.102,pass,0.512,,,
82,0.2,-0.0125,0.99,0.01687,0.101,0.311,0.678,0.247,0.066,pass,0.678,,,
83,-0.333,-0.0307,0.956,0.01088,0.131,0.653,0.418,0.228,0.141,pass,0.418,,,
84,-0.2,-0.0304,0.99,0.00938,0.097,0.51,0.49,0.207,0.123,pass,0.49,,,
85,0.2,-0.0263,0.993,0.0102,0.121,0.532,0.537,0.255,0.117,pass,0.537,,,
86,0.0,-0.0306,0.995,0.01639,0.148,0.456,0.553,0.252,0.09,pass,0.553,,,
87,0.0,-0.0215,0.979,0.01239,0.135,0.652,0.426,0.183,0.125,pass,0.426,,,
88,0.0,-0.0237,0.992,0.01386,0.147,0.601,0.436,0.266,0.105,pass,0.436,,,
89,0.0,-0.0232,0.993,0.01111,0.106,0.467,0.531,0.233,0.07,pass,0.531,,,
90,0.143,-0.0321,0.996,0.01143,0.121,0.495,0.492,0.278,0.094,pass,0.492,,,
91,-0.5,-0.0319,0.994,0.0157,0.142,0.418,0.551,0.305,0.086,pass,0.551,,,
92,-0.333,-0.0289,0.951,0.02045,0.165,0.476,0.488,0.26,0.096,pass,0.488,,,
93,0.2,-0.038,0.994,0.02323,0.203,0.482,0.465,0.217,0.105,pass,0.465,,,
94,0.2,-0.0405,0.997,0.02855,0.23,0.659,0.348,0.141,0.08,very_aggressive,0.402,,,
95,-0.5,-0.0129,0.901,0.02823,0.181,0.368,0.684,0.349,0.074,pass,0.684,,,
96,0.6,-0.0397,0.993,0.02517,0.228,0.665,0.484,0.318,0.123,pass,0.484,,,
97,-1.0,-0.0294,0.996,0.01717,0.197,0.61,0.518,0.329,0.104,pass,0.518,,,
98,0.333,-0.0315,0.996,0.01993,0.188,0.624,0.578,0.408,0.113,pass,0.578,,,
99,0.2,-0.0181,0.983,0.0107,0.116,0.519,0.59,0.311,0.09,pass,0.59,,,
